call_mark,call_oi,call_volume,call_gamma,call_delta,call_vega,strike_price,put_gamma,put_delta,put_vega,put_volume,put_oi,put_mark,Expiry,timestamp_IST,max_pain
273.32124233,0,,8.605e-05,0.99684293,0.01100035,1300,8.414e-05,-0.00306735,0.01071854,3305.66,538282,0.10812629,03-07-2026,18:49,3885
223.43585575,0,,0.00020116,0.99276565,0.02303745,1350,0.00020547,-0.00744789,0.02363603,246.25,17952,0.24393273,03-07-2026,18:49,2630
174.6344764,516,9.17,0.0007444,0.96539269,0.08791522,1400,0.00066571,-0.02853583,0.07495522,968.13,73045,1.07680355,03-07-2026,18:49,1471
126.52590428,101,0.95,0.00158061,0.921814,0.16778057,1450,0.00153429,-0.07227613,0.15802286,447.03999999999996,45308,2.94370205,03-07-2026,18:49,681
117.08615596,0,4.0,0.00181859,0.90920598,0.18770321,1460,0.00178212,-0.08523832,0.17907025,186.40999999999997,14850,3.49351646,03-07-2026,18:49,556
98.58351942,100,,0.00240458,0.87559763,0.23560063,1480,0.00238592,-0.11858334,0.22779843,630.33,488,4.94528768,03-07-2026,18:49,355
80.67489044,896,63.010000000000005,0.00313459,0.83023765,0.29033348,1500,0.00314108,-0.16588558,0.2860463,419.2699999999999,43271,7.1215749,03-07-2026,18:49,161
63.91620537,350,7.249999999999999,0.00398228,0.76712684,0.35111647,1520,0.00401132,-0.22981325,0.34853579,151.45000000000002,10407,10.30415621,03-07-2026,18:49,31
48.51243215,9720,122.59,0.00484268,0.6846229,0.40814644,1540,0.00490061,-0.31303385,0.40684052,62.36999999999999,1768,14.89041852,03-07-2026,18:49,-62
41.431706,8305,179.59999999999997,0.00524277,0.6365989,0.43099896,1550,0.00531167,-0.36171938,0.43032247,150.19,10620,17.80230346,03-07-2026,18:49,-49
34.79880189,6906,252.27000000000004,0.00558448,0.58399387,0.44793225,1560,0.00567177,-0.41488355,0.44766246,320.8,10755,21.20754532,03-07-2026,18:49,-45
23.34130754,13948,578.3799999999999,0.0059735,0.46967051,0.45689058,1580,0.00606076,-0.53096125,0.45683905,626.6299999999999,2534,29.68590817,03-07-2026,18:49,-33
14.71216027,29982,757.53,0.00574418,0.34929953,0.42512176,1600,0.00582757,-0.6544347,0.42340039,171.02999999999997,9151,41.05842127,03-07-2026,18:49,36
8.92289131,24249,1114.64,0.0048792,0.24178274,0.35842799,1620,0.00495007,-0.76218042,0.35528486,96.57,319,55.25835081,03-07-2026,18:49,165
5.32591109,5225,213.46000000000004,0.00379217,0.1615255,0.28119975,1640,0.00378708,-0.84568799,0.2728889,5.309999999999999,411,71.65037967,03-07-2026,18:49,357
4.11940333,81835,609.06,0.00323454,0.12946375,0.2422326,1650,0.00321819,-0.87552294,0.2357256,45.22,4097,80.46798881,03-07-2026,18:49,448
3.13080392,3107,59.47,0.00272581,0.10262814,0.2053787,1660,0.00264882,-0.9064905,0.19184031,,0,89.48439234,03-07-2026,18:49,626
1.89227329,9518,116.85,0.00189733,0.06561637,0.14670277,1680,0.00174578,-0.94509315,0.12759896,1.0,100,108.23294531,03-07-2026,18:49,988
1.24602279,170517,2189.37,0.00131921,0.0439838,0.1068634,1700,0.00111038,-0.96772876,0.08301546,17.81,1938,127.54836296,03-07-2026,18:49,1369
0.60313027,57043,743.47,0.00061019,0.02047619,0.05672133,1750,0.00029662,-0.99272482,0.02315205,0.06,505,176.91146704,03-07-2026,18:49,3178
0.38536427,179699,1278.42,0.00034877,0.01257584,0.03736166,1800,0.0,-1.0,0.0,11.0,464,226.79,03-07-2026,18:49,5273
0.19269275,50604,236.14,0.00017541,0.00626576,0.02029356,1850,0.0,-1.0,0.0,2.5,360,276.79,03-07-2026,18:49,8271
0.10160548,89330,141.31,9.159e-05,0.00326536,0.01133933,1900,0.0,-1.0,0.0,3.0,690,326.79,03-07-2026,18:49,11518
0.05318196,26866,16.15,4.819e-05,0.00170778,0.0063066,1950,0.0,-1.0,0.0,1.0,100,376.79,03-07-2026,18:49,15203
0.05340669,53666,90.25,4.009e-05,0.00155845,0.00580214,2000,0.0,-1.0,0.0,,50,426.79,03-07-2026,18:49,19040
0.05348696,213326,1322.46,2.952e-05,0.00133881,0.00505094,2100,0.0,-1.0,0.0,0.09,551,526.79,03-07-2026,18:49,27258
