
3358.2017408,1623,7.433999999999996,2.188e-05,0.98688237,1.13311583,88000,,,,,,,13-01-2026,05:39,96126
2956.73064423,530,6.282999999999998,2.997e-05,0.98275472,1.43338683,88400,1.809e-05,-0.00834179,0.76375316,1048.7209999999723,164865.0,3.43370335,13-01-2026,05:39,70317
2564.32805929,220,14.881999999999996,4.57e-05,0.97351876,2.05982023,88800,3.438e-05,-0.01695906,1.41302833,278.78699999999924,80928.0,7.82780394,13-01-2026,05:39,50680
2166.18941951,1969,9.210999999999999,6.135e-05,0.96755651,2.43819151,89200,4.994e-05,-0.02310199,1.83691473,365.69399999999985,95561.0,9.57464826,13-01-2026,05:39,34181
1969.24326946,236,1.945,7.585e-05,0.96036235,2.87289502,89400,6.521e-05,-0.03040817,2.31094514,217.90800000000013,65328.0,12.48799991,13-01-2026,05:39,28220
1774.64656263,150,3.4259999999999993,9.698e-05,0.94855465,3.54345495,89600,8.715e-05,-0.04182819,3.00107393,172.99200000000008,19839.0,17.79911667,13-01-2026,05:39,23201
1582.77040199,73,7.730999999999997,0.00012513,0.93138465,4.44073947,89800,0.00011771,-0.05969749,3.98513549,97.33600000000013,14562.0,26.03439506,13-01-2026,05:39,18608
1394.87780883,2123,40.468999999999994,0.00016041,0.90808714,5.53978728,90000,0.00015448,-0.08226318,5.0993671,341.68899999999974,61187.0,37.70517893,13-01-2026,05:39,14290
1210.24043533,230,12.247999999999994,0.00020219,0.87945606,6.73989202,90200,0.00019977,-0.11366789,6.46539638,111.66100000000006,13627.0,53.60364614,13-01-2026,05:39,11330
1031.16679602,573,72.11300000000006,0.00025184,0.8415864,8.11867549,90400,0.00025168,-0.15182891,7.89427029,181.26800000000014,14912.0,74.085183,13-01-2026,05:39,8536
859.89342035,6269,148.2620000000001,0.00030779,0.79325859,9.59073644,90600,0.00031017,-0.20131745,9.44001119,259.28300000000013,27183.0,102.4902106,13-01-2026,05:39,6046
698.71070344,6816,112.89700000000006,0.00036627,0.73223548,11.0588942,90800,0.0003714,-0.26318473,10.96251749,149.93099999999998,14318.0,141.49820294,13-01-2026,05:39,4537
552.2331043,10945,208.3880000000006,0.00041928,0.65759435,12.33941218,91000,0.0004261,-0.33951906,12.29954765,224.1740000000002,22632.0,195.08214069,13-01-2026,05:39,3464
424.72851448,4253,119.40600000000002,0.00045513,0.57135554,13.18409016,91200,0.00045928,-0.42806354,13.1805527,90.68600000000006,7229.0,269.09296212,13-01-2026,05:39,2951
319.12000233,7322,132.163,0.00046418,0.47906696,13.38038676,91400,0.00047259,-0.5213803,13.3797467,138.38600000000002,5604.0,361.8512302,13-01-2026,05:39,2492
234.09909252,19165,160.2540000000002,0.00044465,0.38827147,12.86958188,91600,0.00045231,-0.61394132,12.84869804,149.04100000000005,9931.0,476.9198382,13-01-2026,05:39,2336
170.18143894,11648,125.35299999999981,0.00040116,0.30584336,11.77884161,91800,0.00040712,-0.69783842,11.71569014,110.827,7295.0,613.05657384,13-01-2026,05:39,2705
124.99433782,38788,412.9660000000007,0.00034394,0.23729246,10.37610162,92000,0.00034753,-0.76775553,10.25395498,157.39600000000013,5728.0,767.60062264,13-01-2026,05:39,3230
91.87113624,11048,115.12200000000003,0.00028523,0.1827513,8.89714772,92200,0.00028639,-0.8239313,8.69118853,56.67100000000005,2496.0,934.60822994,13-01-2026,05:39,4939
69.20231481,15657,196.04000000000016,0.00023178,0.14087656,7.5073609,92400,0.0002304,-0.86620049,7.24770178,51.085000000000015,24752.0,1111.95297961,13-01-2026,05:39,6742
55.45059277,21678,135.2770000000001,0.00018783,0.11274501,6.42790143,92600,0.0001843,-0.89546,6.0877267,7.674999999999995,1266.0,1297.93356313,13-01-2026,05:39,6841
46.49617508,32106,144.49000000000007,0.00015362,0.0927213,5.57576693,92800,0.00014823,-0.91643653,5.15983013,11.960999999999997,140.0,1488.85197963,13-01-2026,05:39,9999
40.93558196,57728,304.5590000000002,0.00012781,0.07904738,4.94791877,93000,0.00012154,-0.93025857,4.49673025,20.344999999999995,355.0,1683.27720274,13-01-2026,05:39,13974
35.61519879,50230,218.43499999999997,0.00010666,0.06690015,4.35479828,93200,0.00010049,-0.94140666,3.92703414,4.855,35.0,1876.71030211,13-01-2026,05:39,19159
31.67583321,3823,20.057,9.019e-05,0.0577477,3.88251765,93400,8.36e-05,-0.95054936,3.43343315,0.139,55.0,2074.73424086,13-01-2026,05:39,25345
27.18098776,41874,184.83100000000002,7.579e-05,0.04883287,3.39917596,93600,6.815e-05,-0.96001448,2.89337188,1.9280000000000004,100.0,2269.41594054,13-01-2026,05:39,31437
13.13725342,117578,452.2439999999989,4.487e-05,0.0257733,2.01364697,94000,2.925e-05,-0.98658487,1.15522866,7.820999999999997,310.0,2652.4721877,13-01-2026,05:39,45390
6.5780097,149796,868.1219999999945,2.588e-05,0.01372642,1.17838203,94400,0.0,-1.0,0.0,3.248999999999997,229.0,3049.0,13-01-2026,05:39,64039
3357.71421193,1623,7.433999999999996,2.237e-05,0.98645627,1.16429207,88000,,,,,,,13-01-2026,05:40,96422
2956.57277122,530,6.282999999999998,2.928e-05,0.98334769,1.39056761,88400,1.808e-05,-0.00833743,0.76310524,1048.7209999999723,164865.0,3.47449245,13-01-2026,05:40,70584
2564.6154728,220,14.881999999999996,4.504e-05,0.97410855,2.02060273,88800,3.438e-05,-0.01695958,1.41248367,278.78699999999924,80928.0,7.61435889,13-01-2026,05:40,50916
2166.09581168,1969,9.210999999999999,6.074e-05,0.96804806,2.40673063,89200,4.863e-05,-0.02217549,1.77392222,365.69399999999985,95561.0,9.43359287,13-01-2026,05:40,34390
1968.92371327,236,1.945,7.591e-05,0.9602358,2.87922801,89400,6.408e-05,-0.02952018,2.2539092,217.90800000000013,65022.0,12.37072395,13-01-2026,05:40,28416
1774.0345521,150,3.4259999999999993,9.683e-05,0.94870563,3.53352539,89600,8.702e-05,-0.04179414,2.99792966,172.99200000000008,19839.0,17.55061547,13-01-2026,05:40,23378
1582.37247778,73,7.730999999999997,0.0001249,0.93167003,4.42441624,89800,0.000117,-0.05892465,3.94278069,97.33600000000013,14562.0,25.64887843,13-01-2026,05:40,18764
1394.79399425,2123,40.468999999999994,0.00015939,0.90946057,5.47609365,90000,0.00015419,-0.08218519,5.09374475,341.68899999999974,61205.0,37.14898105,13-01-2026,05:40,14426
1210.12722566,230,12.247999999999994,0.00020185,0.8794552,6.73729831,90200,0.00019951,-0.11303941,6.43678784,111.66100000000006,13627.0,53.22658206,13-01-2026,05:40,11449
1031.09223192,573,72.11300000000006,0.00025131,0.84227962,8.09218953,90400,0.00025113,-0.1511194,7.8666548,181.26800000000014,14912.0,73.86274578,13-01-2026,05:40,8636
859.57787223,6269,148.2620000000001,0.00030746,0.79428685,9.55859212,90600,0.00030981,-0.20014921,9.40343447,259.28300000000013,27183.0,102.25388968,13-01-2026,05:40,6126
