call_mark,call_oi,call_volume,call_gamma,call_delta,call_vega,strike_price,put_gamma,put_delta,put_vega,put_volume,put_oi,put_mark,Expiry,timestamp_IST,max_pain
5212.9970361,50,0.131,1.732e-05,0.98180316,2.08604194,84000,1.073e-05,-0.00907621,1.14322473,237.17000000000007,75778,7.00431423,24-01-2026,17:30,78275
4816.92636576,0,,2.167e-05,0.97733563,2.51270579,84400,1.529e-05,-0.01331708,1.59561303,33.07300000000001,20940,10.27901961,24-01-2026,17:30,67368
4423.77690124,0,,2.912e-05,0.96827404,3.32699639,84800,2.197e-05,-0.02011199,2.27127723,44.69699999999998,31972,16.87696886,24-01-2026,17:30,57304
4034.71897619,1,0.005,3.786e-05,0.9574507,4.22949892,85200,3.204e-05,-0.03155715,3.31233013,42.75100000000002,21229,27.7178256,24-01-2026,17:30,48486
3651.43581395,0,,4.823e-05,0.94431821,5.24442132,85600,4.486e-05,-0.04785702,4.64918558,35.047999999999995,11467,44.50744202,24-01-2026,17:30,40513
3276.97675597,65,2.444,6.257e-05,0.92335339,6.7185857,86000,6.017e-05,-0.06959776,6.24057501,41.765,17992,69.42725092,24-01-2026,17:30,33006
2891.72774923,2,0.012,7.67e-05,0.90643872,7.80279483,86400,7.487e-05,-0.08644704,7.3569962,24.075,9220,84.81590441,24-01-2026,17:30,26169
2514.87737955,0,0.002,9.546e-05,0.8824464,9.20358594,86800,9.413e-05,-0.1101989,8.78950469,11.338000000000001,6264,107.46964205,24-01-2026,17:30,19726
2329.77110992,91,0.37200000000000005,0.00010594,0.86831298,9.96495491,87000,0.00010518,-0.1252017,9.6216402,43.571,12217,123.35829127,24-01-2026,17:30,16602
2147.99542382,51,0.169,0.00011821,0.85120122,10.82678678,87200,0.00011769,-0.14229355,10.50678303,4.144999999999998,3107,140.80985653,24-01-2026,17:30,13662
1970.14488715,0,0.064,0.00013147,0.82729312,11.93334057,87400,0.00013141,-0.16270716,11.48469366,17.043,5720,163.03500027,24-01-2026,17:30,10881
1794.83402114,1,0.02,0.00014541,0.80917295,12.7033183,87600,0.00014647,-0.18605102,12.50553777,62.669000000000025,3114,187.88175786,24-01-2026,17:30,8154
1626.83533853,111,0.364,0.00016004,0.77870018,13.86942738,87800,0.00016164,-0.21261455,13.55332459,75.85900000000001,11400,219.66271128,24-01-2026,17:30,5525
1463.13232866,918,1.262,0.00017596,0.75234751,14.7611269,88000,0.00017787,-0.24334143,14.62272932,96.06699999999995,53454,255.49213756,24-01-2026,17:30,2952
1301.03737753,37,0.5030000000000001,0.00019237,0.72058166,15.69946557,88200,0.00019523,-0.27617558,15.60973224,9.385,1408,293.76545335,24-01-2026,17:30,467
